"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Chil3.Mac",0,2.99977709521875,0.855,0.371,0,"Mac","Chil3","Sec"
"Spp1.Mac",0,2.77694716216188,0.857,0.565,0,"Mac","Spp1",NA
"Lyz2.Mac",0,2.69799820474893,0.999,0.863,0,"Mac","Lyz2","Sec"
"Lpl.Mac",0,2.6186717848138,0.821,0.091,0,"Mac","Lpl","CM"
"Ear2.Mac",0,2.5500044752555,0.77,0.122,0,"Mac","Ear2",NA
"Apoe.Mac",0,2.39967059479041,0.785,0.602,0,"Mac","Apoe","Sec"
"C1qb.Mac",0,2.21111400419109,0.6,0.165,0,"Mac","C1qb","Sec"
"Fn1.Mac",0,2.18035233023798,0.767,0.128,0,"Mac","Fn1","CM"
"Ctss.Mac",0,2.1685084334923,0.996,0.679,0,"Mac","Ctss",NA
"Psap.Mac",0,2.11675220407571,0.996,0.648,0,"Mac","Psap","CM"
"C1qa.Mac",0,2.09534975034183,0.538,0.145,0,"Mac","C1qa","CM"
"Ctsd.Mac",0,2.0629131397489,0.966,0.633,0,"Mac","Ctsd","CM"
"Ctsb.Mac",0,2.03957892281905,0.966,0.416,0,"Mac","Ctsb","CM"
"Lgals3.Mac",0,1.93111169423939,0.983,0.454,0,"Mac","Lgals3",NA
"C1qc.Mac",0,1.91094120922706,0.502,0.105,0,"Mac","C1qc","Sec"
"Mt1.Mac",0,1.86263606881747,0.884,0.221,0,"Mac","Mt1",NA
"Grn.Mac",0,1.8400627164788,0.938,0.229,0,"Mac","Grn","CM"
"Cd9.Mac",0,1.69141296446405,0.913,0.464,0,"Mac","Cd9",NA
"Ftl1.Mac",0,1.66836966616766,1,0.985,0,"Mac","Ftl1",NA
"Mpeg1.Mac",0,1.64608053105512,0.881,0.132,0,"Mac","Mpeg1",NA
"Ctsl.Mac",0,1.62258265728862,0.749,0.147,0,"Mac","Ctsl",NA
"Tgfbi.Mac",0,1.6097227778478,0.883,0.232,0,"Mac","Tgfbi",NA
"Ear1.Mac",0,1.5820232776574,0.343,0.015,0,"Mac","Ear1",NA
"Prdx1.Mac",0,1.49453877819699,0.94,0.52,0,"Mac","Prdx1",NA
"Cybb.Mac",0,1.48016511817133,0.88,0.155,0,"Mac","Cybb",NA
"Hebp1.Mac",0,1.4768001958382,0.673,0.029,0,"Mac","Hebp1",NA
"Ccl9.Mac",0,1.45978210915006,0.597,0.124,0,"Mac","Ccl9","Sec"
"Sgk1.Mac",0,1.44458273171259,0.757,0.135,0,"Mac","Sgk1",NA
"Lgmn.Mac",0,1.4313465513508,0.733,0.146,0,"Mac","Lgmn",NA
"Cd63.Mac",0,1.42604634243036,0.689,0.234,0,"Mac","Cd63","CM"
"Ccl6.Mac",0,1.40708316887662,0.971,0.499,0,"Mac","Ccl6",NA
"Cd68.Mac",0,1.39709482380883,0.813,0.138,0,"Mac","Cd68",NA
"Plin2.Mac",0,1.39345214927518,0.869,0.172,0,"Mac","Plin2",NA
"Lmna.Mac",0,1.38288727628465,0.751,0.096,0,"Mac","Lmna",NA
"Trf.Mac",0,1.36570842555038,0.775,0.111,0,"Mac","Trf","Sec"
"Trem2.Mac",0,1.36533544475753,0.64,0.061,0,"Mac","Trem2","CM"
"Cstb.Mac",0,1.36328990468707,0.908,0.413,0,"Mac","Cstb",NA
"Dbi.Mac",0,1.35712487702577,0.906,0.325,0,"Mac","Dbi",NA
"Axl.Mac",0,1.35477182211389,0.735,0.06,0,"Mac","Axl","CM"
"Ctsc.Mac",0,1.33484706976081,0.861,0.235,0,"Mac","Ctsc","CM"
"Mrc1.Mac",0,1.32873294342059,0.671,0.038,0,"Mac","Mrc1","CM"
"Pld3.Mac",0,1.32178476178409,0.786,0.179,0,"Mac","Pld3","CM"
"Plet1.Mac",0,1.31969641666661,0.464,0.052,0,"Mac","Plet1",NA
"Lrp1.Mac",0,1.31052257508789,0.786,0.038,0,"Mac","Lrp1","CM"
"Ccl2.Mac",0,1.30281353408599,0.296,0.052,0,"Mac","Ccl2",NA
"Abcg1.Mac",0,1.26061190529025,0.653,0.107,0,"Mac","Abcg1",NA
"Gm42418.Mac",0,1.26038045119024,0.895,0.567,0,"Mac","Gm42418",NA
"Car4.Mac",0,1.24637367599136,0.349,0.028,0,"Mac","Car4",NA
"Tcf7l2.Mac",0,1.24578049258231,0.608,0.023,0,"Mac","Tcf7l2","TF"
"App.Mac",0,1.24124082264286,0.827,0.124,0,"Mac","App",NA
"Anxa5.Mac",0,1.23937428540774,0.877,0.247,0,"Mac","Anxa5",NA
"Cd302.Mac",0,1.23809938872133,0.737,0.055,0,"Mac","Cd302","CM"
"Ltc4s.Mac",0,1.23386578795291,0.57,0.052,0,"Mac","Ltc4s",NA
"Lamp1.Mac",0,1.22717100226035,0.922,0.34,0,"Mac","Lamp1","CM"
"Sirpa.Mac",0,1.21662679831808,0.833,0.125,0,"Mac","Sirpa","CM"
"Ftl1-ps1.Mac",0,1.21344319776163,0.914,0.421,0,"Mac","Ftl1-ps1",NA
"Atp6v0d2.Mac",0,1.20908581839169,0.555,0.022,0,"Mac","Atp6v0d2",NA
"Fabp5.Mac",0,1.20718566379626,0.724,0.215,0,"Mac","Fabp5",NA
"Vim.Mac",0,1.19719270153913,0.969,0.597,0,"Mac","Vim",NA
"S100a1.Mac",0,1.18156239711589,0.677,0.076,0,"Mac","S100a1",NA
"Ms4a6c.Mac",0,1.1794976606953,0.616,0.095,0,"Mac","Ms4a6c",NA
"Arg1.Mac",0,1.17375987052566,0.309,0.031,0,"Mac","Arg1",NA
"Dab2.Mac",0,1.17359717461452,0.689,0.052,0,"Mac","Dab2",NA
"Aprt.Mac",0,1.16868291638409,0.864,0.307,0,"Mac","Aprt",NA
"Hk2.Mac",0,1.16184435876685,0.634,0.092,0,"Mac","Hk2",NA
"Gpnmb.Mac",0,1.15419833676726,0.422,0.049,0,"Mac","Gpnmb","CM"
"Ctsz.Mac",0,1.15200951835569,0.919,0.373,0,"Mac","Ctsz",NA
"F7.Mac",0,1.14369539895079,0.627,0.033,0,"Mac","F7",NA
"Fth1.Mac",0,1.13878748197226,0.999,0.993,0,"Mac","Fth1",NA
"Ucp2.Mac",0,1.13822126029039,0.972,0.658,0,"Mac","Ucp2",NA
"Ctsa.Mac",0,1.1198203396273,0.855,0.235,0,"Mac","Ctsa","CM"
"Dstn.Mac",0,1.11619724545512,0.82,0.18,0,"Mac","Dstn",NA
"Creg1.Mac",0,1.10501449785865,0.793,0.199,0,"Mac","Creg1",NA
"Clec4n.Mac",0,1.09524570010903,0.792,0.178,0,"Mac","Clec4n",NA
"Gpx1.Mac",0,1.094773694725,0.981,0.608,0,"Mac","Gpx1",NA
"Akr1a1.Mac",0,1.09084464074466,0.911,0.408,0,"Mac","Akr1a1",NA
"Hexa.Mac",0,1.07334920173852,0.804,0.185,0,"Mac","Hexa","CM"
"Ctsk.Mac",0,1.07011171146391,0.376,0.019,0,"Mac","Ctsk",NA
"Rrbp1.Mac",0,1.05350206704512,0.892,0.316,0,"Mac","Rrbp1",NA
"Fabp1.Mac",0,1.04773803444452,0.178,0.004,0,"Mac","Fabp1",NA
"Mafb.Mac",0,1.03767547067847,0.448,0.022,0,"Mac","Mafb","TF"
"Fcgr2b.Mac",0,1.03258384432771,0.666,0.139,0,"Mac","Fcgr2b",NA
"Cd44.Mac",0,1.02935019156896,0.899,0.354,0,"Mac","Cd44","CM"
"Pld4.Mac",0,1.02929048171924,0.728,0.157,0,"Mac","Pld4","CM"
"Csf1r.Mac",0,1.01182280121182,0.673,0.089,0,"Mac","Csf1r","CM"
"Cyba.Mac",0,1.00920775511181,0.993,0.84,0,"Mac","Cyba",NA
"Tmem256.Mac",0,1.00427397607183,0.82,0.24,0,"Mac","Tmem256",NA
"Ptms.Mac",0,1.00390141481427,0.823,0.213,0,"Mac","Ptms",NA
"Abhd12.Mac",0,1.003373482571,0.71,0.106,0,"Mac","Abhd12",NA
"Hsp90b1.Mac",0,0.989179960971296,0.876,0.352,0,"Mac","Hsp90b1","CM"
"Hmox1.Mac",0,0.988198541452031,0.488,0.054,0,"Mac","Hmox1",NA
"Mt2.Mac",0,0.978196136696876,0.301,0.044,0,"Mac","Mt2",NA
"Itgax.Mac",0,0.967202210561719,0.615,0.088,0,"Mac","Itgax","CM"
"Zeb2.Mac",0,0.965829470081772,0.796,0.165,0,"Mac","Zeb2","TF"
"Il18.Mac",0,0.964454619028328,0.468,0.027,0,"Mac","Il18",NA
"Klhdc4.Mac",0,0.964114902381771,0.584,0.083,0,"Mac","Klhdc4",NA
"Naaa.Mac",0,0.95872798873386,0.734,0.105,0,"Mac","Naaa",NA
"Ms4a6d.Mac",0,0.958696288518589,0.595,0.063,0,"Mac","Ms4a6d",NA
"Gngt2.Mac",0,0.950876774639789,0.831,0.286,0,"Mac","Gngt2",NA
"Fcer1g.Mac",0,0.950726987925388,0.992,0.561,0,"Mac","Fcer1g",NA
"Camk1.Mac",0,0.941517265976349,0.618,0.048,0,"Mac","Camk1",NA
"Cebpa.Mac",0,0.937941471845658,0.62,0.044,0,"Mac","Cebpa","TF"
"Anxa4.Mac",0,0.918725068148254,0.641,0.081,0,"Mac","Anxa4",NA
"Clec4a2.Mac",0,0.905482994805885,0.659,0.096,0,"Mac","Clec4a2",NA
"Msr1.Mac",0,0.896030203866028,0.516,0.019,0,"Mac","Msr1","CM"
"Tuba1b.Mac",0,0.895368675246029,0.845,0.403,0,"Mac","Tuba1b",NA
"Laptm5.Mac",0,0.893399123393693,0.982,0.727,0,"Mac","Laptm5",NA
"Wfdc17.Mac",0,0.884943597724194,0.815,0.354,0,"Mac","Wfdc17",NA
"Mapk3.Mac",0,0.881435239669642,0.742,0.172,0,"Mac","Mapk3",NA
"Csf2ra.Mac",0,0.879489376254691,0.766,0.171,0,"Mac","Csf2ra","CM"
"Etfb.Mac",0,0.878380062146348,0.786,0.245,0,"Mac","Etfb",NA
"Slc6a6.Mac",0,0.877665519389477,0.746,0.186,0,"Mac","Slc6a6","CM"
"Furin.Mac",0,0.871628822674412,0.679,0.133,0,"Mac","Furin",NA
"Fcgr3.Mac",0,0.870498685543087,0.78,0.203,0,"Mac","Fcgr3",NA
"Anxa2.Mac",0,0.867645474635967,0.931,0.446,0,"Mac","Anxa2","CM"
"Capg.Mac",0,0.866031397898954,0.885,0.376,0,"Mac","Capg",NA
"F11r.Mac",0,0.862194991337213,0.566,0.049,0,"Mac","F11r","CM"
"Myof.Mac",0,0.85989551989727,0.551,0.018,0,"Mac","Myof",NA
"Atpif1.Mac",0,0.859387183991207,0.837,0.336,0,"Mac","Atpif1",NA
"Cd300c2.Mac",0,0.854409066736368,0.757,0.168,0,"Mac","Cd300c2",NA
"Reep5.Mac",0,0.853141337712749,0.89,0.435,0,"Mac","Reep5",NA
"Lipa.Mac",0,0.847032377113448,0.582,0.079,0,"Mac","Lipa",NA
"Rnh1.Mac",0,0.842490293592386,0.759,0.247,0,"Mac","Rnh1",NA
"Gns.Mac",0,0.835414698016458,0.651,0.115,0,"Mac","Gns","CM"
"Nceh1.Mac",0,0.834396493066597,0.562,0.049,0,"Mac","Nceh1","CM"
"Comt.Mac",0,0.833803037100057,0.692,0.134,0,"Mac","Comt",NA
"Vat1.Mac",0,0.830856272877429,0.537,0.045,0,"Mac","Vat1",NA
"Klf4.Mac",0,0.825097349463959,0.624,0.116,0,"Mac","Klf4","TF"
"Selenop.Mac",0,0.824112347838457,0.67,0.184,0,"Mac","Selenop","Sec"
"Tkt.Mac",0,0.822781532538824,0.856,0.333,0,"Mac","Tkt",NA
"Mgst1.Mac",0,0.820633944776527,0.702,0.123,0,"Mac","Mgst1",NA
"Npc2.Mac",0,0.818034825072448,0.938,0.608,0,"Mac","Npc2",NA
"Clec4a3.Mac",0,0.816301651312433,0.518,0.026,0,"Mac","Clec4a3",NA
"Sdcbp.Mac",0,0.815623486054793,0.895,0.423,0,"Mac","Sdcbp",NA
"Ctsh.Mac",0,0.81503580282603,0.865,0.317,0,"Mac","Ctsh",NA
"Sh3bgrl.Mac",0,0.811675540109308,0.735,0.181,0,"Mac","Sh3bgrl",NA
"mt-Co2.Mac",0,0.805311414250243,0.997,0.944,0,"Mac","mt-Co2",NA
"Sdc3.Mac",0,0.803755723314623,0.51,0.038,0,"Mac","Sdc3",NA
"Calr.Mac",0,0.800962056386504,0.89,0.465,0,"Mac","Calr",NA
"F10.Mac",0,0.800295640249227,0.486,0.028,0,"Mac","F10",NA
"Itgb5.Mac",0,0.80015310561141,0.518,0.015,0,"Mac","Itgb5","CM"
"Canx.Mac",0,0.799431939799933,0.771,0.249,0,"Mac","Canx",NA
"Rassf4.Mac",0,0.797247074322409,0.61,0.082,0,"Mac","Rassf4",NA
"Lgals1.Mac",0,0.79709572528347,0.93,0.468,0,"Mac","Lgals1",NA
"Ms4a8a.Mac",0,0.795245450198336,0.446,0.011,0,"Mac","Ms4a8a",NA
"mt-Co1.Mac",0,0.793446522700167,0.998,0.96,0,"Mac","mt-Co1",NA
"Tlr2.Mac",0,0.792822690641119,0.652,0.126,0,"Mac","Tlr2","CM"
"Rps27l.Mac",0,0.789464039812557,0.876,0.373,0,"Mac","Rps27l",NA
"Uqcr11.Mac",0,0.786769015174572,0.885,0.454,0,"Mac","Uqcr11",NA
"Dhrs3.Mac",0,0.786747187972829,0.566,0.065,0,"Mac","Dhrs3",NA
"Atp6v0b.Mac",0,0.78464906861593,0.9,0.41,0,"Mac","Atp6v0b",NA
"Cndp2.Mac",0,0.784547182664194,0.641,0.107,0,"Mac","Cndp2",NA
"Ahnak.Mac",0,0.7804038888007,0.777,0.219,0,"Mac","Ahnak",NA
"Anxa3.Mac",0,0.780333107249219,0.568,0.072,0,"Mac","Anxa3",NA
"Ptpn12.Mac",0,0.779677107691067,0.576,0.103,0,"Mac","Ptpn12",NA
"Iqgap1.Mac",0,0.779571419433257,0.899,0.47,0,"Mac","Iqgap1",NA
"Sept9.Mac",0,0.77313876362677,0.667,0.178,0,"Mac","Sept9",NA
"Slc15a3.Mac",0,0.768108646180745,0.7,0.157,0,"Mac","Slc15a3",NA
"Asah1.Mac",0,0.760286436724996,0.686,0.142,0,"Mac","Asah1","CM"
"Gstm1.Mac",0,0.758667522151505,0.467,0.04,0,"Mac","Gstm1",NA
