Term|Overlap|P.value|Adjusted.P.value|Old.P.value|Old.Adjusted.P.value|Odds.Ratio|Combined.Score|Genes|cluster
1|neutrophil degranulation (GO:0043312)|26/480|1.56952933943156e-19|8.00930821911927e-16|0|0|10.4166666666667|451.024385169504|CD63;CSTB;B4GALT1;HEXB;CTSS;SYNGR1;GM2A;FTH1;CREG1;PSAP;TIMP2;CTSH;B2M;CTSD;CTSB;GSN;ANXA3;ARG1;PGAM1;NME2;CYBA;TYROBP;LRG1;FABP5;MAN2B1;CD68|0
2|neutrophil activation involved in immune response (GO:0002283)|26/484|1.92896805280773e-19|4.92176198673893e-16|0|0|10.3305785123967|445.166648704865|CD63;CSTB;B4GALT1;HEXB;CTSS;SYNGR1;GM2A;FTH1;CREG1;PSAP;TIMP2;CTSH;B2M;CTSD;CTSB;GSN;ANXA3;ARG1;PGAM1;NME2;CYBA;TYROBP;LRG1;FABP5;MAN2B1;CD68|0
3|neutrophil mediated immunity (GO:0002446)|26/488|2.36627989504838e-19|4.02504210147729e-16|0|0|10.2459016393443|439.424156859533|CD63;CSTB;B4GALT1;HEXB;CTSS;SYNGR1;GM2A;FTH1;CREG1;PSAP;TIMP2;CTSH;B2M;CTSD;CTSB;GSN;ANXA3;ARG1;PGAM1;NME2;CYBA;TYROBP;LRG1;FABP5;MAN2B1;CD68|0
4|cellular response to thyroid hormone stimulus (GO:0097067)|4/10|1.4142531860496e-07|0.000180423350210278|0|0|76.9230769230769|1213.19184945388|CTSL;CTSH;CTSS;CTSB|0
5|extracellular matrix disassembly (GO:0022617)|7/79|1.78709930181598e-07|0.000182391354743339|0|0|17.0399221032132|264.757821156825|CTSL;CTSK;TIMP2;SPP1;FN1;MMP19;CTSS|0
6|pattern recognition receptor signaling pathway (GO:0002221)|6/49|1.99343067641776e-07|0.000169541279029331|0|0|23.5478806907378|363.302320373617|CTSL;S100A1;CTSK;CTSS;CTSB;LGMN|0
7|response to thyroid hormone (GO:0097066)|4/11|2.21352778128877e-07|0.000161366175255951|0|0|69.9300699300699|1071.57399489546|CTSL;CTSH;CTSS;CTSB|0
8|cellular protein catabolic process (GO:0044257)|6/63|9.13284654818063e-07|0.000582561449192072|0|0|18.3150183150183|254.69264148896|CTSL;CTSK;CTSH;CTSS;CTSB;LGMN|0
9|regulation of peptidase activity (GO:0052547)|4/18|1.9958764016325e-06|0.00113166191972563|0|0|42.7350427350427|560.872961753082|CSTB;ECM1;CAV1;CTSH|0
10|hydrogen peroxide metabolic process (GO:0042743)|4/20|3.1349655682652e-06|0.00159977292948573|0|0|38.4615384615385|487.418937190354|PRDX2;PRDX5;PRDX1;CYBA|0
