"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Igkc",0,3.77829302177579,0.971,0.431,0,0,"Igkc",NA
"Cd79a",0,3.24050392043034,0.997,0.049,0,0,"Cd79a","CM"
"Ebf1",0,2.93571208962546,0.98,0.029,0,0,"Ebf1","TF"
"Ly6d",0,2.90607813540112,0.934,0.049,0,0,"Ly6d",NA
"Iglc2",0,2.8979078604897,0.914,0.058,0,0,"Iglc2",NA
"Ighm",0,2.87569370815626,0.99,0.326,0,0,"Ighm",NA
"Cd79b",0,2.69071536507611,0.951,0.053,0,0,"Cd79b","CM"
"Iglc3",0,2.60952160796141,0.904,0.034,0,0,"Iglc3",NA
"Ighd",0,2.24168682409152,0.829,0.029,0,0,"Ighd",NA
"Ms4a1",0,2.10373533729756,0.796,0.014,0,0,"Ms4a1","CM"
"Fcmr",0,2.05273622116199,0.767,0.019,0,0,"Fcmr",NA
"Iglc1",0,2.0129069238524,0.448,0.021,0,0,"Iglc1",NA
"H2-DMb2",0,1.98156611012923,0.876,0.107,0,0,"H2-DMb2",NA
"Mef2c",0,1.81558246292222,0.78,0.129,0,0,"Mef2c","TF"
"Cd74",0,1.69672931161712,1,0.678,0,0,"Cd74","CM"
"H2-Ob",0,1.67095479770948,0.705,0.051,0,0,"H2-Ob",NA
"Mzb1",0,1.64727617004578,0.618,0.013,0,0,"Mzb1",NA
"Bank1",0,1.63204346216521,0.653,0.014,0,0,"Bank1",NA
"Vpreb3",0,1.50063528344635,0.494,0.008,0,0,"Vpreb3",NA
"Cd37",0,1.49628159501284,0.919,0.465,0,0,"Cd37","CM"
"Gm31243",0,1.43439427861775,0.554,0.006,0,0,"Gm31243",NA
"H2-Aa",0,1.41625585612488,0.995,0.519,0,0,"H2-Aa","CM"
"H2-Oa",0,1.40462916021764,0.604,0.074,0,0,"H2-Oa",NA
"Siglecg",0,1.36082115590139,0.572,0.041,0,0,"Siglecg",NA
"Pou2f2",0,1.27426355062511,0.618,0.163,0,0,"Pou2f2","TF"
"Fcrla",0,1.25849219241449,0.483,0.015,0,0,"Fcrla",NA
"Fcer2a",0,1.25419738063757,0.41,0.005,0,0,"Fcer2a",NA
"Ralgps2",0,1.24364514136465,0.486,0.033,0,0,"Ralgps2",NA
"H2-Eb1",0,1.22703938528989,0.992,0.438,0,0,"H2-Eb1",NA
"Cd55",0,1.19557927058683,0.452,0.033,0,0,"Cd55",NA
"Cd19",0,1.18263759125767,0.465,0.009,0,0,"Cd19","CM"
"Pou2af1",0,1.17283474880257,0.427,0.01,0,0,"Pou2af1",NA
"Tsc22d3",0,1.15871120418291,0.878,0.604,0,0,"Tsc22d3","TF"
"Scd1",0,1.12882432396826,0.432,0.03,0,0,"Scd1",NA
"H2-Ab1",0,1.11526063661766,0.996,0.569,0,0,"H2-Ab1",NA
"Gm8369",0,1.11235313775637,0.599,0.181,0,0,"Gm8369",NA
"Tnfrsf13c",0,1.08423548801665,0.387,0.009,0,0,"Tnfrsf13c",NA
"Ly6e",0,1.07517517709348,0.995,0.841,0,0,"Ly6e",NA
"Apobec3",0,1.04838514963524,0.714,0.302,0,0,"Apobec3",NA
"Pkig",0,1.00525019231232,0.506,0.2,0,0,"Pkig",NA
"Foxp1",0,0.976995028719302,0.666,0.358,0,0,"Foxp1","TF"
"Ly86",0,0.965206905335758,0.666,0.276,0,0,"Ly86",NA
"Pax5",0,0.959350708350408,0.336,0.003,0,0,"Pax5","TF"
"Fcrl1",0,0.947538208163988,0.364,0.013,0,0,"Fcrl1",NA
"Ptp4a3",0,0.942647763207399,0.458,0.136,0,0,"Ptp4a3",NA
"Bcl11a",0,0.93761044881028,0.347,0.027,0,0,"Bcl11a","TF"
"Ltb",0,0.932215627915123,0.847,0.406,0,0,"Ltb","CM"
"Gimap6",0,0.918686063712737,0.725,0.282,0,0,"Gimap6",NA
"Fchsd2",0,0.915858889349189,0.371,0.068,0,0,"Fchsd2",NA
"Spib",0,0.911936161566259,0.324,0.013,0,0,"Spib","TF"
"Snn",0,0.861146729285992,0.318,0.038,0,0,"Snn",NA
"Blnk",0,0.85914156074045,0.369,0.078,0,0,"Blnk",NA
"Smim14",0,0.84407777943503,0.653,0.422,0,0,"Smim14",NA
"Napsa",0,0.827560004125921,0.695,0.352,0,0,"Napsa","Sec"
"Rnase6",0,0.817718453266836,0.382,0.1,0,0,"Rnase6",NA
"Ptprcap",0,0.800913653234482,0.834,0.345,0,0,"Ptprcap",NA
"Rps27rt",0,0.792951795496816,1,0.964,0,0,"Rps27rt",NA
"Rps27",0,0.778996303142858,1,0.996,0,0,"Rps27",NA
"Grap",0,0.775421452181581,0.393,0.115,0,0,"Grap",NA
"Gm30211",0,0.772364388231212,0.228,0.001,0,0,"Gm30211",NA
"H2-DMa",0,0.760239814050364,0.807,0.462,0,0,"H2-DMa","CM"
"Serp1",0,0.753476591156216,0.817,0.614,0,0,"Serp1",NA
"Serinc3",0,0.749560912918104,0.854,0.662,0,0,"Serinc3",NA
"Cnn3",0,0.69252774326169,0.243,0.017,0,0,"Cnn3",NA
"Rpl18a",0,0.661148043355408,1,0.992,0,0,"Rpl18a",NA
"Trim7",0,0.657047142356003,0.221,0.02,0,0,"Trim7",NA
"H3f3a",0,0.652768163574249,0.995,0.955,0,0,"H3f3a",NA
"Rps19",0,0.605039701821328,1,0.96,0,0,"Rps19",NA
"Rps20",0,0.60047181707762,1,0.919,0,0,"Rps20",NA
