,Term,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster
1,cellular response to cytokine stimulus (GO:0071345),5.42E-09,2.77E-05,0,0,6.251953736,118.9926527,EGR1;OSM;TNF;CXCL2;AIF1;ZFP36L1;CXCL10;ZFP36;AXL;CCL5;UBC;CCL4;PIM1;CCL3;CCL17;NFE2L2,0
2,cellular response to tumor necrosis factor (GO:0071356),1.27E-08,3.24E-05,0,0,10.07326007,183.1439234,NFKBIA;ZFP36;TMSB4X;CCL5;UBC;CCL4;CCL3;TNF;CCL17;ZFP36L1;NFE2L2,0
3,positive regulation of lymphocyte migration (GO:2000403),2.95E-08,5.02E-05,0,0,52.5210084,910.6267937,CXCL10;CCL5;CCL4;CCL3;AIF1,0
4,cellular response to lipopolysaccharide (GO:0071222),4.73E-08,6.03E-05,0,0,15.52795031,261.9064437,CXCL10;ZFP36;AXL;CCL5;TNIP3;CCL3;TNFAIP3;TNF,0
5,response to tumor necrosis factor (GO:0034612),7.78E-08,7.94E-05,0,0,14.57725948,238.6214359,ZFP36;CCL5;CCL4;CCL3;CCL17;CXCL16;ZFP36L1;NFE2L2,0
6,response to interferon-gamma (GO:0034341),1.16E-07,9.85E-05,0,0,18.11594203,289.3356864,BST2;CCL5;CCL4;CCL3;AIF1;CCL17;CXCL16,0
7,negative regulation of viral transcription (GO:0032897),1.56E-07,0.000113916,0,0,38.81987578,608.3742146,JUN;ZFP36;CCL5;CCL4;CCL3,0
8,lymphocyte chemotaxis (GO:0048247),1.84E-07,0.000117173,0,0,23.80952381,369.2857902,CXCL10;CCL5;CCL4;CCL3;CCL17;CXCL16,0
9,negative regulation by host of viral transcription (GO:0043922),4.46E-07,0.000252625,0,0,59.52380952,870.4739718,JUN;CCL5;CCL4;CCL3,0
10,chemokine-mediated signaling pathway (GO:0070098),4.99E-07,0.00025478,0,0,20.21563342,293.3310751,CXCL10;CCL5;CCL4;CCL3;CXCL2;CCL17,0
11,mitochondrial ATP synthesis coupled electron transport (GO:0042775),5.33E-07,0.000247459,0,0,14.53488372,209.9411681,MT-ND4;MT-CO1;MT-CO2;MT-CO3;MT-ND2;MT-ND3;MT-ND1,0
12,respiratory electron transport chain (GO:0022904),1.05E-06,0.000447607,0,0,13.15789474,181.1088512,MT-ND4;MT-CO1;MT-CO2;MT-CO3;MT-ND2;MT-ND3;MT-ND1,0
13,positive regulation of leukocyte chemotaxis (GO:0002690),1.28E-06,0.000503784,0,0,17.28110599,234.4354387,CXCL10;CCL5;CCL4;CCL3;CXCL2;AIF1,0
14,cellular response to transforming growth factor beta stimulus (GO:0071560),1.59E-06,0.000580949,0,0,12.37623762,165.2150209,JUN;ITGB5;GDF15;UBC;FURIN;F11R;ZFP36L1,0
15,inflammatory response (GO:0006954),1.60E-06,0.000545986,0,0,7.058159232,94.17314887,CXCL10;CCL5;CCRL2;CCL4;CCL3;F11R;TNF;CXCL2;AIF1;CCL17,0
16,cytokine-mediated signaling pathway (GO:0019221),2.54E-06,0.000810764,0,0,4.22487607,54.42708787,EGR1;OSM;TNF;CXCL2;NFKBIA;BST2;CXCL10;TMSB4X;CCL5;UBC;CCL4;PIM1;CCL3;B2M;CCL17,0
17,response to lipopolysaccharide (GO:0032496),2.74E-06,0.000822355,0,0,9.157509158,117.2867062,CXCL10;ZFP36;JUN;AXL;TNIP3;TNFAIP3;TRIB1;CXCL2,0
18,positive regulation of mononuclear cell migration (GO:0071677),3.38E-06,0.000959606,0,0,37.59398496,473.5413636,CXCL10;CCL5;TNF;AIF1,0
19,regulation of inflammatory response (GO:0050727),4.55E-06,0.001220982,0,0,8.554319932,105.2287843,NFKBIA;TMSB4X;CCL5;CCL4;CCL3;TNFAIP3;APOE;TLR2,0
20,transforming growth factor beta receptor signaling pathway (GO:0007179),4.62E-06,0.001179835,0,0,13.91465677,170.9308765,JUN;ITGB5;GDF15;UBC;FURIN;F11R,0
21,regulation of smooth muscle cell proliferation (GO:0048660),5.14E-06,0.001249975,0,0,19.84126984,241.6208901,CCL5;TNFAIP3;TRIB1;TNF;AIF1,0
22,regulation of natural killer cell chemotaxis (GO:2000501),5.89E-06,0.001365324,0,0,76.53061224,921.6508913,CCL5;CCL4;CCL3,0
23,activation of MAPKKK activity (GO:0000185),5.89E-06,0.001305962,0,0,76.53061224,921.6508913,GADD45B;TNF;GADD45G,0
24,cellular response to molecule of bacterial origin (GO:0071219),8.23E-06,0.001749026,0,0,12.60504202,147.5826856,CXCL10;ZFP36;AXL;TNIP3;TNFAIP3;TLR2,0
25,modulation by host of viral transcription (GO:0043921),1.72E-05,0.003510697,0,0,25.51020408,279.8634884,JUN;CCL5;CCL4;CCL3,0
26,positive regulation of ERK1 and ERK2 cascade (GO:0070374),1.83E-05,0.003583618,0,0,7.072135785,77.16315127,CD74;GPNMB;AXL;CCL5;CCL4;CCL3;TNF;CCL17,0
27,T cell chemotaxis (GO:0010818),1.99E-05,0.003767754,0,0,53.57142857,579.8048167,CXCL10;CCL3;CXCL16,0
28,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),2.03E-05,0.003700361,0,0,6.968641115,75.29410682,NFKBIA;BST2;CD74;TNIP3;UBC;TNFAIP3;TNF;MALT1,0
29,cellular response to interleukin-1 (GO:0071347),2.27E-05,0.003998206,0,0,8.278145695,88.51156944,NFKBIA;EGR1;CCL5;UBC;CCL4;CCL3;CCL17,0
30,cellular response to oxygen-containing compound (GO:1901701),2.46E-05,0.004189112,0,0,5.844155844,62.0161536,EGR1;CXCL10;ZFP36;JUN;AXL;TNIP3;TNFAIP3;ZFP36L1;TLR2,0
31,positive regulation of MAPK cascade (GO:0043410),3.73E-05,0.006141256,0,0,5.541871921,56.50671464,CD74;GPNMB;AXL;CCL5;CCL4;CCL3;OSM;TNF;CCL17,0
32,positive regulation of chemokine production (GO:0032722),4.27E-05,0.006805333,0,0,20.40816327,205.3448314,EGR1;CD74;TNF;TLR2,0
33,protein kinase B signaling (GO:0043491),4.78E-05,0.00739207,0,0,19.84126984,197.3893598,CCL5;CCL3;TNF;ZFP36L1,0
34,cellular response to interferon-gamma (GO:0071346),5.09E-05,0.007637555,0,0,9.157509158,90.53022976,CCL5;CCL4;CCL3;B2M;AIF1;CCL17,0
35,positive regulation of smooth muscle cell proliferation (GO:0048661),5.94E-05,0.008658877,0,0,18.79699248,182.9211661,JUN;CCL5;TNF;AIF1,0
36,positive regulation of inflammatory response (GO:0050729),5.96E-05,0.008450583,0,0,12.06563707,117.3695069,NFKBIA;CCL4;CCL3;OSM;TLR2,0
37,positive regulation of defense response (GO:0031349),6.36E-05,0.008770452,0,0,11.9047619,115.0361057,NFKBIA;CCL5;CCL4;CCL3;TLR2,0
38,regulation of transcription from RNA polymerase II promoter (GO:0006357),6.48E-05,0.008705025,0,0,2.535496957,24.45195891,EGR1;JUN;GDF15;OSM;TNF;NFKBIA;CXCL10;ZFP36;NFIC;TNIP3;UBC;BHLHE40;NFKBIZ;FOSB;APOE;CCNL1;IER5;SKIL;ATF3;NFE2L2;TLR2,0
39,positive regulation of membrane protein ectodomain proteolysis (GO:0051044),7.41E-05,0.009690377,0,0,35.71428571,339.6658626,FURIN;APOE;TNF,0
40,regulation of ERK1 and ERK2 cascade (GO:0070372),7.83E-05,0.009983037,0,0,5.760368664,54.46758246,CD74;GPNMB;AXL;CCL5;CCL4;CCL3;TNF;CCL17,0
41,positive regulation of intracellular signal transduction (GO:1902533),8.05E-05,0.01001617,0,0,4.092261905,38.58007061,BST2;CXCL10;CD74;AXL;CCL5;UBC;CCL4;CCL3;OSM;TNF;MALT1,0
42,neutrophil degranulation (GO:0043312),8.05E-05,0.009777689,0,0,4.092261905,38.58007061,BST2;SYNGR1;GRN;FABP5;HEXB;IQGAP1;B2M;CTSD;CTSS;CTSB;TLR2,0
43,neutrophil activation involved in immune response (GO:0002283),8.66E-05,0.010279895,0,0,4.058441558,37.96245516,BST2;SYNGR1;GRN;FABP5;HEXB;IQGAP1;B2M;CTSD;CTSS;CTSB;TLR2,0
44,monocyte chemotaxis (GO:0002548),8.85E-05,0.01026588,0,0,17.00680272,158.7129887,CCL5;CCL4;CCL3;CCL17,0
45,T cell migration (GO:0072678),9.08E-05,0.010294284,0,0,33.48214286,311.6212466,CXCL10;CCL3;CXCL16,0
46,lipopolysaccharide-mediated signaling pathway (GO:0031663),9.08E-05,0.010070495,0,0,33.48214286,311.6212466,CCL5;CCL3;TNF,0
47,neutrophil mediated immunity (GO:0002446),9.32E-05,0.010115742,0,0,4.025175644,37.35805246,BST2;SYNGR1;GRN;FABP5;HEXB;IQGAP1;B2M;CTSD;CTSS;CTSB;TLR2,0
48,positive regulation of monocyte chemotaxis (GO:0090026),0.000109782,0.011671197,0,0,31.51260504,287.300867,CXCL10;CCL5;AIF1,0
49,regulation of T cell migration (GO:2000404),0.000109782,0.011433009,0,0,31.51260504,287.300867,CXCL10;CCL5;AIF1,0
50,toll-like receptor signaling pathway (GO:0002224),0.000129079,0.013173787,0,0,10.26272578,91.90360331,TNIP3;UBC;CTSS;CTSB;TLR2,0
51,"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",0.000138051,0.013813205,0,0,15.19756839,135.0742931,MT-ND4;MT-ND2;MT-ND3;MT-ND1,0
52,negative regulation of sequence-specific DNA binding transcription factor activity (GO:0043433),0.000143032,0.014036367,0,0,7.598784195,67.26781021,NFKBIA;TMSB4X;BHLHE40;PIM1;TNFAIP3;TRIB1,0
53,negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124),0.000149954,0.014438054,0,0,14.88095238,131.0294624,NFKBIA;TMSB4X;TNIP3;TNFAIP3,0
54,positive regulation of response to external stimulus (GO:0032103),0.0001596,0.015082192,0,0,9.811616954,85.78140099,NFKBIA;CCL4;CCL3;LY86;TLR2,0
55,regulation of cytokine-mediated signaling pathway (GO:0001959),0.0001596,0.014807971,0,0,9.811616954,85.78140099,CD74;AXL;UBC;TNFAIP3;TNF,0
56,positive regulation of chemotaxis (GO:0050921),0.000162583,0.014815342,0,0,14.57725948,127.1767378,CXCL10;TMSB4X;CXCL2;AIF1,0
57,transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),0.000166642,0.014918885,0,0,7.389162562,64.28320243,JUN;ITGB5;GDF15;UBC;FURIN;F11R,0
58,positive regulation of T cell migration (GO:2000406),0.000181807,0.015995876,0,0,26.78571429,230.6937105,CXCL10;CCL5;AIF1,0
59,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",0.000211245,0.018270877,0,0,25.51020408,215.8799321,MT-CO1;MT-CO2;MT-CO3,0
60,response to molecule of bacterial origin (GO:0002237),0.000236911,0.020149277,0,0,9.018759019,75.28703276,CXCL10;JUN;TNFAIP3;TRIB1;CXCL2,0
61,neutrophil chemotaxis (GO:0030593),0.000237512,0.019869278,0,0,13.22751323,110.3874413,CCL5;CCL4;CCL3;CCL17,0
62,regulation of membrane protein ectodomain proteolysis (GO:0051043),0.000243604,0.020050157,0,0,24.35064935,202.5966182,FURIN;APOE;TNF,0
63,regulation of monocyte chemotaxis (GO:0090025),0.000243604,0.019731901,0,0,24.35064935,202.5966182,CXCL10;CCL5;AIF1,0
64,positive regulation of transcription from RNA polymerase II promoter (GO:0045944),0.000280004,0.022325947,0,0,2.944640754,24.08924188,EGR1;JUN;OSM;TNF;NFKBIA;CXCL10;NFIC;TNIP3;UBC;CCNL1;IER5;ATF3;NFE2L2;TLR2,0
