"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1QB",0,0.790872295455669,0.972,0.728,0,"0","C1QB"
"C1QA",0,0.764580272755566,0.979,0.742,0,"0","C1QA"
"FABP4",0,0.749519356711981,0.912,0.497,0,"0","FABP4"
"FBP1",0,0.70919101754549,0.958,0.663,0,"0","FBP1"
"MCEMP1",0,0.684279649800743,0.901,0.509,0,"0","MCEMP1"
"SERPINA1",0,0.639941728233371,0.945,0.707,0,"0","SERPINA1"
"ALOX5AP",0,0.612966322071997,0.965,0.713,0,"0","ALOX5AP"
"SERPING1",0,0.601129287546541,0.817,0.426,0,"0","SERPING1"
"PCOLCE2",0,0.574398649551456,0.64,0.231,0,"0","PCOLCE2"
"CD52",0,0.558615563525311,0.942,0.771,0,"0","CD52"
"STXBP2",0,0.540212375526676,0.796,0.568,0,"0","STXBP2"
"INHBA",0,0.53825430019851,0.832,0.39,0,"0","INHBA"
"C1QC",0,0.535352104187328,0.891,0.604,0,"0","C1QC"
"LGALS3BP",0,0.530912568003511,0.674,0.316,0,"0","LGALS3BP"
"HLA-DRB5",0,0.530744751364487,0.877,0.734,0,"0","HLA-DRB5"
"TREM1",0,0.516394886810394,0.817,0.489,0,"0","TREM1"
"MARCO",0,0.509905357198197,0.906,0.598,0,"0","MARCO"
"TGM2",0,0.502990435050671,0.478,0.203,0,"0","TGM2"
"VSIG4",0,0.501571871553429,0.903,0.629,0,"0","VSIG4"
"ALDH2",0,0.495284050892493,0.908,0.633,0,"0","ALDH2"
"GLDN",0,0.482701975249126,0.682,0.311,0,"0","GLDN"
"RBP4",0,0.474860932996123,0.481,0.205,0,"0","RBP4"
"GRN",0,0.473808973699571,0.97,0.832,0,"0","GRN"
"CTSC",0,0.473362214484916,0.929,0.706,0,"0","CTSC"
"ACP5",0,0.470641209901777,0.951,0.725,0,"0","ACP5"
"CES1",0,0.464253937782264,0.59,0.285,0,"0","CES1"
"GPD1",0,0.464017642828607,0.439,0.117,0,"0","GPD1"
"HLA-DRB1",0,0.45731899044413,0.973,0.881,0,"0","HLA-DRB1"
"HLA-DQA1",0,0.455256277218366,0.946,0.728,0,"0","HLA-DQA1"
"GCHFR",0,0.454397806868286,0.887,0.591,0,"0","GCHFR"
"ABCG1",0,0.447694435740331,0.605,0.286,0,"0","ABCG1"
"AKR1C3",0,0.438368294447726,0.572,0.274,0,"0","AKR1C3"
"ALOX5",0,0.435767523231348,0.822,0.529,0,"0","ALOX5"
"HLA-DQB1",0,0.431229541349859,0.958,0.784,0,"0","HLA-DQB1"
"TSPO",0,0.430112915525485,0.974,0.851,0,"0","TSPO"
"LRPAP1",0,0.428742610441262,0.803,0.553,0,"0","LRPAP1"
"LPL",0,0.426029703976196,0.83,0.486,0,"0","LPL"
"AQP3",0,0.421747823289977,0.562,0.245,0,"0","AQP3"
"PPIC",0,0.41509900064475,0.543,0.213,0,"0","PPIC"
"PLA2G16",0,0.413592486101202,0.689,0.358,0,"0","PLA2G16"
"UBB",0,0.401112109730066,0.969,0.845,0,"0","UBB"
"APOC1",0,0.394062887972298,0.996,0.794,0,"0","APOC1"
"S100A13",0,0.393856048454159,0.642,0.326,0,"0","S100A13"
"HLA-DRA",0,0.393286399160703,0.999,0.947,0,"0","HLA-DRA"
"ITM2B",0,0.392425315864674,0.981,0.908,0,"0","ITM2B"
