"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY.NK",0,2.87750356978477,0.434,0.018,0,"NK","GNLY"
"CCL5.NK",0,2.51347027117205,0.568,0.026,0,"NK","CCL5"
"NKG7.NK",0,2.47554732557994,0.566,0.045,0,"NK","NKG7"
"GZMB.NK",0,1.861848276115,0.438,0.007,0,"NK","GZMB"
"KLRB1.NK",0,1.62470937516323,0.357,0.019,0,"NK","KLRB1"
"GZMA.NK",0,1.55556125827492,0.44,0.007,0,"NK","GZMA"
"IL32.NK",0,1.49603182015847,0.44,0.043,0,"NK","IL32"
"KLRD1.NK",0,1.44920069865164,0.448,0.005,0,"NK","KLRD1"
"PRF1.NK",0,1.4431920804349,0.422,0.006,0,"NK","PRF1"
"CD7.NK",0,1.39115536479593,0.418,0.028,0,"NK","CD7"
"CST7.NK",0,1.35657191711723,0.45,0.033,0,"NK","CST7"
"GZMH.NK",0,1.20230316522207,0.321,0.003,0,"NK","GZMH"
"AC092580.4.NK",0,1.02366644675004,0.243,0.007,0,"NK","AC092580.4"
"FGFBP2.NK",0,0.99604064087881,0.249,0.002,0,"NK","FGFBP2"
"CD247.NK",0,0.985702093873809,0.337,0.012,0,"NK","CD247"
"KLRC1.NK",0,0.846864897111248,0.163,0.001,0,"NK","KLRC1"
"CD8A.NK",0,0.775784176747153,0.209,0.004,0,"NK","CD8A"
"PYHIN1.NK",0,0.709876769026622,0.249,0.013,0,"NK","PYHIN1"
"GZMM.NK",0,0.692877825781998,0.247,0.008,0,"NK","GZMM"
"XCL2.NK",0,0.676526004284717,0.122,0.001,0,"NK","XCL2"
"KLRF1.NK",0,0.61017975443223,0.165,0.002,0,"NK","KLRF1"
"TRDC.NK",0,0.526861637372208,0.125,0.001,0,"NK","TRDC"
"SAMD3.NK",0,0.480644345715632,0.133,0.002,0,"NK","SAMD3"
"S1PR5.NK",0,0.281002431939066,0.104,0.001,0,"NK","S1PR5"
"CD8B.NK",5.75476318567999e-291,0.549053945423721,0.137,0.003,1.93900990778302e-286,"NK","CD8B"
"TRBC1.NK",6.03806183633866e-287,1.07962469874371,0.261,0.017,2.03446455513595e-282,"NK","TRBC1"
"LCK.NK",2.40013549449981e-278,0.675750357908532,0.253,0.017,8.08701653516766e-274,"NK","LCK"
"TRBC2.NK",9.60942981668651e-267,0.984988139492665,0.313,0.027,3.23780128243435e-262,"NK","TRBC2"
"SYNE2.NK",1.40090352273141e-243,0.737881059129005,0.283,0.025,4.72020432949122e-239,"NK","SYNE2"
"ETS1.NK",1.91205288447682e-230,0.764876768121713,0.293,0.028,6.44247098895621e-226,"NK","ETS1"
"CLIC3.NK",4.9260974173228e-225,0.536609760051709,0.175,0.009,1.65979926379274e-220,"NK","CLIC3"
"CTSW.NK",1.72422527183045e-221,1.28058023898072,0.47,0.084,5.80960463090553e-217,"NK","CTSW"
"CD3E.NK",7.02992412886215e-214,0.815037967538434,0.249,0.022,2.36866263597881e-209,"NK","CD3E"
"CD2.NK",2.47875164249087e-212,1.30534494697085,0.365,0.048,8.35190578420873e-208,"NK","CD2"
"CD3D.NK",1.50617405611446e-211,1.2892398373201,0.347,0.044,5.07490286467207e-207,"NK","CD3D"
"TRAC.NK",4.79737361027303e-209,1.12603258040283,0.285,0.029,1.61642706424539e-204,"NK","TRAC"
"CD3G.NK",2.9792202171072e-208,0.816538011941359,0.247,0.022,1.0038184599521e-203,"NK","CD3G"
"SPON2.NK",8.82616477134901e-204,0.64329553949603,0.187,0.012,2.97388795805833e-199,"NK","SPON2"
"IL2RB.NK",6.64423685767336e-200,0.400827771121769,0.131,0.006,2.23870916682446e-195,"NK","IL2RB"
"ZAP70.NK",2.04360573588128e-198,0.417794706770255,0.143,0.007,6.8857251664784e-194,"NK","ZAP70"
"CCL4.NK",7.58492364539284e-194,1.78834224788018,0.484,0.093,2.55566417307866e-189,"NK","CCL4"
"GZMK.NK",2.63380896103438e-188,0.692956538102208,0.112,0.004,8.87435591330925e-184,"NK","GZMK"
"CD96.NK",4.76278880096525e-186,0.49790756082658,0.169,0.011,1.60477405859723e-181,"NK","CD96"
"IKZF3.NK",1.04410599993919e-179,0.523612691095149,0.205,0.017,3.51801075619509e-175,"NK","IKZF3"
"ADGRG1.NK",5.3624278552611e-170,0.375005256499938,0.12,0.006,1.80681644155168e-165,"NK","ADGRG1"
"GPR171.NK",2.07155333751818e-166,0.4889778820681,0.161,0.011,6.97989181543376e-162,"NK","GPR171"
"KLRG1.NK",5.16334075302274e-156,0.357107077170659,0.12,0.006,1.73973603332348e-151,"NK","KLRG1"
"C12orf75.NK",6.12625720942755e-150,0.576254240828282,0.187,0.017,2.06418110414452e-145,"NK","C12orf75"
"SH2D2A.NK",1.83752265216781e-147,0.316506335532736,0.112,0.006,6.19134882421423e-143,"NK","SH2D2A"
"ISG20.NK",1.26997039446411e-139,0.853941250558707,0.38,0.075,4.27903824710738e-135,"NK","ISG20"
"FYN.NK",2.24213923230454e-117,0.681782835202325,0.271,0.046,7.55466392932693e-113,"NK","FYN"
"RUNX3.NK",2.46208939850168e-117,0.702737866984257,0.303,0.057,8.29576401931157e-113,"NK","RUNX3"
"SH2D1A.NK",8.10539660405248e-115,0.282090355516251,0.104,0.007,2.73103233176944e-110,"NK","SH2D1A"
"ITM2A.NK",1.52352904082698e-106,0.368304265418528,0.139,0.013,5.13337875016243e-102,"NK","ITM2A"
"PLEKHF1.NK",4.09832423301389e-103,0.296872852672621,0.102,0.007,1.3808893670717e-98,"NK","PLEKHF1"
"SYTL3.NK",3.95931149874287e-102,0.674634583583821,0.253,0.046,1.33405041638642e-97,"NK","SYTL3"
"BCL11B.NK",3.35741857337483e-95,0.276438362163731,0.112,0.01,1.13124861411292e-90,"NK","BCL11B"
"GIMAP7.NK",5.01748367170559e-85,0.730616186434667,0.299,0.071,1.69059094834448e-80,"NK","GIMAP7"
"LBH.NK",3.29682024541205e-84,0.389825442755006,0.145,0.019,1.11083061348913e-79,"NK","LBH"
"TRAF3IP3.NK",4.7474863809599e-78,0.462878896872677,0.205,0.038,1.59961806120063e-73,"NK","TRAF3IP3"
"PRDM1.NK",2.39886262738106e-77,0.563620607134068,0.267,0.062,8.08272773669774e-73,"NK","PRDM1"
"SPOCK2.NK",7.88455262519497e-77,0.417688068230983,0.143,0.02,2.65662116153319e-72,"NK","SPOCK2"
"STAT4.NK",1.88543294780152e-74,0.258419726606005,0.108,0.012,6.35277777432245e-70,"NK","STAT4"
"SKAP1.NK",2.69466273257846e-72,0.360881323187758,0.155,0.024,9.07939661114986e-68,"NK","SKAP1"
"IFITM1.NK",4.64065593137628e-71,0.29395891431633,0.116,0.014,1.56362260951792e-66,"NK","IFITM1"
"ITM2C.NK",5.95276849385307e-69,0.505877153024055,0.12,0.015,2.00572581631885e-64,"NK","ITM2C"
"ITK.NK",6.7434948526261e-69,0.253074877260543,0.104,0.012,2.27215315564384e-64,"NK","ITK"
"ACAP1.NK",1.64225888757269e-68,0.566678150966246,0.221,0.049,5.53342709578744e-64,"NK","ACAP1"
"FKBP11.NK",4.90116470375244e-68,0.475206044820432,0.187,0.036,1.65139843528235e-63,"NK","FKBP11"
"HOPX.NK",9.5488900835074e-68,0.910400810670971,0.359,0.121,3.21740302473698e-63,"NK","HOPX"
"CORO1A.NK",4.69998408271012e-66,0.851519562040135,0.514,0.215,1.58361263682835e-61,"NK","CORO1A"
"GNG2.NK",4.89606194734816e-65,0.375811055645146,0.171,0.032,1.64967911253949e-60,"NK","GNG2"
"MALAT1.NK",9.57074077055285e-62,0.544982680137947,1,1,3.22476539523008e-57,"NK","MALAT1"
"CLEC2D.NK",2.2163028853907e-60,0.477646579658587,0.215,0.051,7.46761094203541e-56,"NK","CLEC2D"
"SLC38A1.NK",4.71792697385761e-59,0.383428602332607,0.171,0.034,1.58965831457158e-54,"NK","SLC38A1"
"GPX1.NK",1.00933325484741e-56,-0.53685137147413,0.703,0.924,3.40084746888285e-52,"NK","GPX1"
"PTPN7.NK",1.77441914152418e-54,0.428565916457119,0.171,0.036,5.97872785545158e-50,"NK","PTPN7"
"CD74.NK",1.72561921457481e-50,-0.487674209537263,0.908,0.98,5.81430138158836e-46,"NK","CD74"
"CTSB.NK",1.78558413373278e-50,-0.667273101688606,0.655,0.905,6.01634718019924e-46,"NK","CTSB"
"DDIT4.NK",2.12981746893547e-50,0.756273558286126,0.402,0.171,7.17620697983117e-46,"NK","DDIT4"
"HLA-DRA.NK",6.46880307271553e-50,-0.515105311060176,0.791,0.966,2.17959850732077e-45,"NK","HLA-DRA"
"BTG1.NK",9.8598799408612e-50,0.678371951266697,0.825,0.724,3.32218794727377e-45,"NK","BTG1"
"TYROBP.NK",1.59759754419697e-49,-0.41616483768052,0.819,0.949,5.38294516541728e-45,"NK","TYROBP"
"SYTL1.NK",4.802782825521e-48,0.290627163352399,0.135,0.026,1.61824964523105e-43,"NK","SYTL1"
"PSAP.NK",1.32309153188582e-47,-0.474405357937837,0.781,0.939,4.45802460753609e-43,"NK","PSAP"
"CST3.NK",2.06530876639915e-47,-0.485039654281428,0.695,0.935,6.95885135750529e-43,"NK","CST3"
"HLA-DPA1.NK",4.01621447742257e-47,-0.56231355725669,0.739,0.911,1.35322330602276e-42,"NK","HLA-DPA1"
"S100A11.NK",1.09702294056706e-46,-0.438106569564013,0.869,0.957,3.69630909594664e-42,"NK","S100A11"
"AKNA.NK",1.13273821650887e-46,0.585542691194629,0.333,0.131,3.81664814670498e-42,"NK","AKNA"
"LYZ.NK",1.81616183169087e-46,-0.58642233326908,0.667,0.935,6.1193756756992e-42,"NK","LYZ"
"VIM.NK",4.07272295092617e-46,-0.41922237524009,0.918,0.982,1.37226327108506e-41,"NK","VIM"
"HLA-DRB1.NK",8.24728606770781e-46,-0.605034033015211,0.737,0.912,2.77884056765347e-41,"NK","HLA-DRB1"
"C1QC.NK",7.48768961100736e-45,-0.739195031518457,0.382,0.694,2.52290213753282e-40,"NK","C1QC"
